f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,W<sub>LSPR</sub>,A<sub>LSPR</sub>/A<sub>TSPR</sub>
1,1.2,50,12,27,10,80,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,868,3.960073668
1,1,50,12,27,10,100,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,746,1.9732
1,1.2,50,12,27,10,100,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,846,2.995950892
1,1,50,12,27,10,120,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,817,2.724192442
1,1.2,50,12,27,10,120,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,882,3.213251344
1,1,50,12,27,10,200,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,832,2.428392919
1,1.2,50,12,27,10,200,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,896,3.221186515
1,1,50,12,27,10,300,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,806,2.048643668
1,1.2,50,12,27,10,300,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,925,3.343244145
1,1,50,12,27,10,110,50,1.82,5,0.364,350,2,120,27,0.4,0.58,400,0,773,1.455056043
1,1.2,50,12,27,10,110,50,1.82,5,0.364,350,2,120,27,0.4,0.58,400,0,932,2.422459427
1,1,50,12,27,10,110,50,1.82,15,0.364,350,2,120,27,0.4,0.58,400,0,821,0.870894677
1,1.2,50,12,27,10,110,50,1.82,15,0.364,350,2,120,27,0.4,0.58,400,0,949,1.713285524
2,2,50,12,27,10,110,100,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,790,1.222913849
2,2.4,50,12,27,10,110,100,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,896,2.141406033
4,4,50,12,27,10,110,200,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,963,1.15963389
4,4.8,50,12,27,10,110,200,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,895,2.253014623
